haskell-unordered-containers 0.2.20.1-17
haskell-utf8-string 1.0.2-255
haskell-uuid-types 1.0.6-224
haskell-vector 0.13.2.0-329
haskell-vector-algorithms 0.9.1.0-116
haskell-vector-stream 0.1.0.1-4
haskell-witherable 0.4.2-230
haskell-xml 1.3.14-33
haskell-xml-conduit 1.9.1.4-143
haskell-xml-types 0.3.8-11
haskell-yaml 0.11.11.2-198
haskell-zip-archive 0.4.3.2-105
haskell-zlib 0.7.0.0-67
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
htop 3.4.1-1
hwdata 0.402-1
hyphen 2.8.8-6
iana-etc 20251114-1
ibus 1.5.33-1
icu 78.1-1
iio-sensor-proxy 3.8-1
ijs 0.35-6
imagemagick 7.1.2.10-1
imath 3.2.2-2
imlib2 1.12.5-1
intel-ucode 20251111-1
iproute2 6.18.0-1
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.19.0-1
jansson 2.14.1-1
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.8.1-1
js140 140.6.0-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 25.12.0-1
kactivities5 5.116.0-2
karchive 6.21.0-1
karchive5 5.116.0-2
kauth 6.21.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.21.0-1
kbookmarks5 5.116.0-2
kcmutils 6.21.0-1
kcmutils5 5.116.0-2
kcodecs 6.21.0-1
kcodecs5 5.116.0-2
kcolorscheme 6.21.0-1
kcompletion 6.21.0-1
kcompletion5 5.116.0-2
kconfig 6.21.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.21.0-1
kconfigwidgets5 5.116.0-3
kcoreaddons 6.21.0-1
kcoreaddons5 5.116.0-2
kcrash 6.21.0-1
kcrash5 5.116.0-2
kdbusaddons 6.21.0-1
kdbusaddons5 5.116.0-2
kdeclarative5 5.116.0-2
kded5 5.116.0-2
kdnssd5 5.116.0-2
keyutils 1.6.3-3
kglobalaccel 6.21.0-1
kglobalaccel5 5.116.0-2
kguiaddons 6.21.0-1
kguiaddons5 5.116.0-2
ki18n 6.21.0-1
ki18n5 5.116.0-2
kiconthemes 6.21.0-1
kiconthemes5 5.116.0-2
kio 6.21.0-1
kio5 5.116.0-5
kirigami 6.21.0-2
kitemviews 6.21.0-1
kitemviews5 5.116.0-2
kjobwidgets 6.21.0-1
kjobwidgets5 5.116.0-2
kmod 34.2-1
knotifications 6.21.0-1
knotifications5 5.116.0-3
knotifyconfig5 5.116.0-2
kpackage5 5.116.0-3
kparts 6.21.0-1
kpmcore 25.12.0-1
krb5 1.21.3-2
kservice 6.21.0-1
kservice5 5.116.0-3
ktextwidgets 6.21.0-1
ktextwidgets5 5.116.0-2
kwallet 6.21.0-1
kwallet5 5.116.0-5
kwidgetsaddons 6.21.0-1
kwidgetsaddons5 5.116.0-2
kwindowsystem 6.21.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.21.0-1
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
lame 3.100-6
lcms2 2.17-1
ldb 2:4.23.3-2
leancrypto 1.6.0-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libadwaita 1:1.8.2-1
libao 1.2.2-7
libarchive 3.8.4-1
libass 0.17.4-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libavc1394 0.5.4-7
libavif 1.3.0-3
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblockdev 3.4.0-1
libblockdev-crypto 3.4.0-1
libblockdev-fs 3.4.0-1
libblockdev-loop 3.4.0-1
libblockdev-mdraid 3.4.0-1
libblockdev-nvme 3.4.0-1
libblockdev-part 3.4.0-1
libblockdev-smart 3.4.0-1
libblockdev-swap 3.4.0-1
libbluray 1.4.0-2
libbpf 1.6.2-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-2
libcolord 1.4.8-1
libcue 2.3.0-1
libcups 2:2.4.16-1
libcupsfilters 2.1.1-2
libdaemon 0.14-6
